worker_idx,round,loss,time,timedelta
1,1,0.3453011067708333,2025-07-25 11:20:05.994356,0 days 00:00:00
5,1,0.32653794352213544,2025-07-25 11:20:14.183018,0 days 00:00:08.188662
1,2,0.2776148885091146,2025-07-25 11:20:22.782810,0 days 00:00:16.788454
3,1,0.3143628946940104,2025-07-25 11:20:30.729518,0 days 00:00:24.735162
2,1,0.3110309244791667,2025-07-25 11:20:39.167150,0 days 00:00:33.172794
4,1,0.29243365478515626,2025-07-25 11:20:49.535794,0 days 00:00:43.541438
5,2,0.2659921061197917,2025-07-25 11:20:59.631477,0 days 00:00:53.637121
4,2,0.2588399861653646,2025-07-25 11:21:11.327547,0 days 00:01:05.333191
2,2,0.27293697102864584,2025-07-25 11:21:22.624504,0 days 00:01:16.630148
1,3,0.24698663330078124,2025-07-25 11:21:30.512110,0 days 00:01:24.517754
3,2,0.26466798909505207,2025-07-25 11:21:38.617335,0 days 00:01:32.622979
5,3,0.2503929850260417,2025-07-25 11:21:48.320930,0 days 00:01:42.326574
3,3,0.24125630696614583,2025-07-25 11:21:58.763671,0 days 00:01:52.769315
4,3,0.2293722127278646,2025-07-25 11:22:07.343608,0 days 00:02:01.349252
2,3,0.2680624186197917,2025-07-25 11:22:16.458353,0 days 00:02:10.463997
1,4,0.2347154541015625,2025-07-25 11:22:24.873125,0 days 00:02:18.878769
2,4,0.23595819091796874,2025-07-25 11:22:35.334075,0 days 00:02:29.339719
4,4,0.20245013427734376,2025-07-25 11:22:44.500881,0 days 00:02:38.506525
3,4,0.23561134847005208,2025-07-25 11:22:53.256016,0 days 00:02:47.261660
5,4,0.23205409749348957,2025-07-25 11:23:00.706146,0 days 00:02:54.711790
1,5,0.21084136962890626,2025-07-25 11:23:08.603218,0 days 00:03:02.608862
2,5,0.2329886678059896,2025-07-25 11:23:17.779078,0 days 00:03:11.784722
4,5,0.1861380615234375,2025-07-25 11:23:30.365373,0 days 00:03:24.371017
1,6,0.1929154052734375,2025-07-25 11:23:43.064162,0 days 00:03:37.069806
5,5,0.2104188232421875,2025-07-25 11:23:56.566588,0 days 00:03:50.572232
3,5,0.22214593505859376,2025-07-25 11:24:09.404858,0 days 00:04:03.410502
4,6,0.19196909586588543,2025-07-25 11:24:20.639135,0 days 00:04:14.644779
5,6,0.20552091471354167,2025-07-25 11:24:33.228720,0 days 00:04:27.234364
2,6,0.21938275146484376,2025-07-25 11:24:43.192656,0 days 00:04:37.198300
1,7,0.179237548828125,2025-07-25 11:24:52.078084,0 days 00:04:46.083728
3,6,0.20314894612630208,2025-07-25 11:24:59.643558,0 days 00:04:53.649202
1,8,0.1641819559733073,2025-07-25 11:25:09.984938,0 days 00:05:03.990582
2,7,0.2022269287109375,2025-07-25 11:25:20.499865,0 days 00:05:14.505509
4,7,0.17218068440755208,2025-07-25 11:25:30.203265,0 days 00:05:24.208909
5,7,0.19727205403645834,2025-07-25 11:25:40.151374,0 days 00:05:34.157018
3,7,0.18607930501302083,2025-07-25 11:25:49.423798,0 days 00:05:43.429442
5,8,0.18436568196614583,2025-07-25 11:25:58.277097,0 days 00:05:52.282741
2,8,0.19574934895833335,2025-07-25 11:26:08.403120,0 days 00:06:02.408764
4,8,0.16152694702148437,2025-07-25 11:26:19.023364,0 days 00:06:13.029008
3,8,0.18313765462239584,2025-07-25 11:26:29.615353,0 days 00:06:23.620997
1,9,0.1697646484375,2025-07-25 11:26:43.200896,0 days 00:06:37.206540
5,9,0.17691025797526042,2025-07-25 11:26:53.022723,0 days 00:06:47.028367
4,9,0.1553880106608073,2025-07-25 11:27:02.487327,0 days 00:06:56.492971
1,10,0.1615157470703125,2025-07-25 11:27:12.159974,0 days 00:07:06.165618
3,9,0.17762156168619792,2025-07-25 11:27:23.187553,0 days 00:07:17.193197
2,9,0.21081711832682293,2025-07-25 11:27:34.791387,0 days 00:07:28.797031
4,10,0.15477946980794272,2025-07-25 11:27:45.252145,0 days 00:07:39.257789
2,10,0.1788353271484375,2025-07-25 11:27:54.496102,0 days 00:07:48.501746
5,10,0.19494783528645834,2025-07-25 11:28:05.669009,0 days 00:07:59.674653
1,10,0.251839111328125,2025-07-25 11:28:14.055344,0 days 00:08:08.060988
3,10,0.1685724589029948,2025-07-25 11:28:24.704605,0 days 00:08:18.710249
